Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
40.0,6703,CENRB01,Rib-Terrazze,Peronospora,80%,66%,79%,90%,89%,89%,84%
4.0,6866,LENCF02,CabF - Milio,Oidium,26%,35%,37%,31%,31%,32%,35%
4.0,6866,LENCF02,CabF - Milio,Peronospora,74%,65%,63%,69%,69%,68%,65%
4.0,6868,LENRIB01,Rib - Milio,Oidium,35%,36%,50%,30%,28%,32%,30%
4.0,6868,LENRIB01,Rib - Milio,Peronospora,65%,64%,50%,70%,72%,68%,70%
4.0,6895,LENSV02,Sv - Fornalis Estirpato 2016,Oidium,27%,23%,23%,29%,33%,32%,30%
4.0,6895,LENSV02,Sv - Fornalis Estirpato 2016,Peronospora,73%,77%,77%,71%,67%,68%,70%
2.0,6902,VIAVER01,Ver-Bosco,Oidium,46%,33%,24%,29%,36%,41%,30%
2.0,6902,VIAVER01,Ver-Bosco,Peronospora,54%,67%,76%,71%,64%,59%,70%
4.0,6927,GRASV01,Sv-Neblo,Oidium,30%,20%,27%,20%,20%,28%,38%
4.0,6927,GRASV01,Sv-Neblo,Peronospora,70%,80%,73%,80%,80%,72%,62%
4.0,7068,GRARIB01,Rib-neblo,Oidium,33%,38%,41%,42%,45%,50%,39%
4.0,7068,GRARIB01,Rib-neblo,Peronospora,67%,62%,59%,58%,55%,50%,61%
4.0,7069,GRATR01,ToFr-Neblo,Oidium,35%,29%,36%,41%,48%,41%,43%
4.0,7069,GRATR01,ToFr-Neblo,Peronospora,65%,71%,64%,59%,52%,59%,57%
2.0,7309,VIASV01,Sv-SottoCantina,Oidium,52%,39%,45%,51%,47%,60%,49%
2.0,7309,VIASV01,Sv-SottoCantina,Peronospora,48%,61%,55%,49%,53%,40%,51%
4.0,7310,GRARIB02,Rib-zali breg,Oidium,36%,29%,32%,35%,40%,51%,45%
4.0,7310,GRARIB02,Rib-zali breg,Peronospora,64%,71%,68%,65%,60%,49%,55%
4.0,7442,GRAPB01,Pb-ZaliBreg,Oidium,37%,39%,32%,35%,37%,36%,39%
4.0,7442,GRAPB01,Pb-ZaliBreg,Peronospora,63%,61%,68%,65%,63%,64%,61%
4.0,7457,GRAMER02,Mer-ZaliBreg,Oidium,35%,35%,19%,15%,16%,11%,33%
4.0,7457,GRAMER02,Mer-ZaliBreg,Peronospora,65%,65%,81%,85%,84%,89%,67%
40.0,7464,CENFR01,ToFr-Terrazze,Oidium,30%,34%,15%,12%,12%,8%,29%
40.0,7464,CENFR01,ToFr-Terrazze,Peronospora,70%,66%,85%,88%,88%,92%,71%
40.0,7468,CENPIG02,Pig-Ritocchino,Oidium,30%,33%,13%,12%,13%,9%,30%
40.0,7468,CENPIG02,Pig-Ritocchino,Peronospora,70%,67%,87%,88%,87%,91%,70%
4.0,7472,GRARIB02,Rib-ZaliBreg1,Oidium,37%,35%,18%,15%,15%,11%,33%
4.0,7472,GRARIB02,Rib-ZaliBreg1,Peronospora,63%,65%,82%,85%,85%,89%,67%
4.0,7866,GRASV02,Sv-Zali breg,Oidium,46%,38%,20%,26%,26%,14%,28%
4.0,7866,GRASV02,Sv-Zali breg,Peronospora,54%,62%,80%,74%,74%,86%,72%
4.0,7877,GRASV03,Sv-Pintar,Oidium,31%,36%,36%,44%,44%,49%,38%
4.0,7877,GRASV03,Sv-Pintar,Peronospora,69%,64%,64%,56%,56%,51%,62%
4.0,7882,GRAMER01,Mer-Pintar,Oidium,33%,38%,41%,42%,45%,50%,39%
4.0,7882,GRAMER01,Mer-Pintar,Peronospora,67%,62%,59%,58%,55%,50%,61%
4.0,7904,GRATR02,ToFr-pintar,Oidium,38%,34%,22%,21%,18%,15%,37%
4.0,7904,GRATR02,ToFr-pintar,Peronospora,62%,66%,78%,79%,82%,85%,63%
4.0,7972,GRAPG01,Pg-Pintar,Oidium,25%,33%,32%,25%,20%,21%,31%
4.0,7972,GRAPG01,Pg-Pintar,Peronospora,75%,67%,68%,75%,80%,79%,69%
4.0,8069,GRACH01,Ch-calvario,Oidium,35%,35%,19%,15%,16%,11%,33%
